"","state","account_length","area_code","international_plan","voice_mail_plan","number_vmail_messages","total_day_calls","total_day_charge","total_eve_minutes","total_eve_calls","total_night_calls","total_night_charge","total_intl_minutes","total_intl_calls","number_customer_service_calls","churn","vmail_flag","number"
"2483","VT",152,"area_code_415","no","no",0,126,33.51,130.1,76,100,3.51,7.4,4,3,"no","no",1.38629436111989
"2484","IN",130,"area_code_408","no","yes",30,117,31.45,249.5,141,103,7.1,7.4,7,0,"no","yes",1.94591014905531
"2485","OK",93,"area_code_415","no","yes",32,120,19.87,232.4,97,112,5.75,11,9,0,"no","yes",2.19722457733622
"2486","NC",122,"area_code_415","no","no",0,88,30.6,145,77,120,10.52,11.5,6,2,"no","no",1.79175946922805
"2487","CT",112,"area_code_415","no","yes",27,121,36.21,226.2,101,99,8.54,11.1,3,4,"no","yes",1.09861228866811
"2488","MD",136,"area_code_415","no","no",0,74,42.91,167.9,81,110,11.17,10.7,3,2,"no","no",1.09861228866811
"2489","PA",114,"area_code_415","no","no",0,75,26.4,169.9,87,133,9.32,12.6,5,2,"no","no",1.6094379124341
"2490","TN",78,"area_code_415","yes","no",0,126,12.16,166.8,127,86,9.52,8.3,2,3,"yes","no",0.693147180559945
"2491","MA",80,"area_code_408","no","no",0,106,25.26,210.8,65,86,9.17,10,2,2,"no","no",0.693147180559945
"2492","NV",111,"area_code_415","no","no",0,56,51.78,157.6,101,116,8.47,12.4,1,1,"yes","no",0
"2493","KY",169,"area_code_510","no","no",0,120,46.94,123.5,88,116,11.79,11.9,5,1,"no","no",1.6094379124341
"2494","NV",48,"area_code_408","no","no",0,114,42.09,172.3,110,107,11.9,7.1,3,1,"no","no",1.09861228866811
"2495","VA",113,"area_code_408","no","yes",34,63,7.63,134.2,82,118,7.58,13.3,3,1,"no","yes",1.09861228866811
"2496","MO",42,"area_code_415","no","no",0,98,31.37,200.5,93,91,12.56,8.8,3,2,"no","no",1.09861228866811
"2497","ME",157,"area_code_408","no","yes",27,85,34.24,101.3,60,113,11.63,11.9,5,2,"no","yes",1.6094379124341
"2498","VA",138,"area_code_415","no","no",0,119,42.67,91.2,96,87,6.4,13.8,3,3,"no","no",1.09861228866811
"2499","PA",142,"area_code_408","no","no",0,95,21.85,192.6,91,95,3.56,9.2,6,2,"no","no",1.79175946922805
"2500","MT",83,"area_code_415","no","no",0,70,32.01,243.8,88,79,9.62,10.3,6,0,"no","no",1.79175946922805
"2501","AL",120,"area_code_415","no","yes",27,142,30.53,262.8,103,81,10.8,11.1,2,1,"no","yes",0.693147180559945
"2502","AR",72,"area_code_415","no","yes",27,68,18.99,252.8,106,109,11.5,7.8,4,1,"no","yes",1.38629436111989
"2503","NJ",84,"area_code_415","no","no",0,102,32.33,197.7,141,102,11.14,9.8,6,2,"no","no",1.79175946922805
"2504","OR",157,"area_code_510","no","yes",30,107,33.03,243.2,108,114,14.5,7.1,5,1,"no","yes",1.6094379124341
"2505","FL",93,"area_code_415","no","no",0,89,25.74,186.4,76,120,7.76,10.9,3,0,"no","no",1.09861228866811
"2506","OK",52,"area_code_510","no","yes",38,88,28.78,225.9,97,86,7.74,8.2,3,0,"no","yes",1.09861228866811
"2507","MT",143,"area_code_415","no","no",0,97,29.29,174,108,119,8.47,13,4,2,"no","no",1.38629436111989
"2508","TX",38,"area_code_510","no","no",0,92,25.33,49.2,78,93,7.35,13.9,11,0,"no","no",2.39789527279837
"2509","MD",90,"area_code_415","no","no",0,122,19.45,127.7,154,109,11.39,10.1,5,2,"no","no",1.6094379124341
"2510","UT",90,"area_code_415","no","no",0,128,44.51,220.6,104,91,6.15,9.6,5,1,"no","no",1.6094379124341
"2511","NV",129,"area_code_415","no","no",0,98,25.5,232.4,101,123,11.75,12.5,6,1,"no","no",1.79175946922805
"2512","NH",116,"area_code_415","no","no",0,127,36.65,105.5,110,80,13.13,11.2,7,3,"no","no",1.94591014905531
"2513","KY",73,"area_code_510","no","no",0,102,39.9,195.7,110,71,11.4,8.4,8,2,"no","no",2.07944154167984
"2514","SC",108,"area_code_510","no","no",0,101,31.86,199.9,126,107,9.72,12.6,8,1,"no","no",2.07944154167984
"2515","KS",94,"area_code_510","no","yes",28,88,39.64,113.3,102,71,5.31,16.1,4,0,"no","yes",1.38629436111989
"2516","WA",143,"area_code_415","no","no",0,94,35.94,184.5,89,108,10.94,5.5,5,1,"yes","no",1.6094379124341
"2517","WA",73,"area_code_510","yes","no",0,108,34.49,285.9,121,102,9.86,12.8,5,1,"no","no",1.6094379124341
"2518","PA",141,"area_code_510","no","no",0,121,24.91,169.9,125,112,10.75,8.2,5,0,"no","no",1.6094379124341
"2519","PA",171,"area_code_415","no","yes",25,77,37.94,183.2,118,90,6.79,10.2,3,3,"no","yes",1.09861228866811
"2520","NY",81,"area_code_415","no","no",0,97,23.94,211.5,109,53,9.76,12.2,4,0,"no","no",1.38629436111989
"2521","RI",105,"area_code_408","no","no",0,75,17.71,272.9,91,107,8.42,9.2,2,1,"no","no",0.693147180559945
"2522","SC",78,"area_code_415","no","no",0,105,18.62,286.1,90,113,11.14,4.9,9,1,"no","no",2.19722457733622
"2523","SC",90,"area_code_408","no","yes",29,109,25.52,264.7,103,97,8.03,5.8,4,1,"no","yes",1.38629436111989
"2524","WY",68,"area_code_510","no","no",0,116,33.22,212.1,101,134,6.23,15.1,11,1,"no","no",2.39789527279837
"2525","OH",63,"area_code_415","yes","yes",36,110,33.83,291.3,111,92,8.89,11,6,1,"no","yes",1.79175946922805
"2526","OH",29,"area_code_408","no","no",0,81,33.46,168,110,98,5.97,12.7,7,2,"no","no",1.94591014905531
"2527","NJ",124,"area_code_415","no","no",0,92,18.39,214.3,83,155,8.35,13.2,11,4,"yes","no",2.39789527279837
"2528","IL",48,"area_code_510","no","no",0,71,21.79,48.1,78,80,5.23,8.9,3,0,"no","no",1.09861228866811
"2529","HI",148,"area_code_510","yes","no",0,88,37.21,208,85,99,9.15,11.1,4,0,"no","no",1.38629436111989
"2530","WY",43,"area_code_415","yes","no",0,105,42.76,212.8,104,67,7.1,9.3,4,0,"no","no",1.38629436111989
"2531","GA",103,"area_code_415","no","yes",28,105,20.57,270.4,100,76,7.22,7.7,4,2,"no","yes",1.38629436111989
"2532","TX",98,"area_code_408","no","no",0,90,26.95,254.4,67,104,8.03,14.8,5,2,"no","no",1.6094379124341
"2533","CO",71,"area_code_415","no","no",0,114,37.01,182,105,87,5.11,8.5,10,4,"no","no",2.30258509299405
"2534","NM",79,"area_code_415","no","no",0,108,31.84,177.1,72,135,12.11,9.5,3,3,"no","no",1.09861228866811
"2535","MI",147,"area_code_415","no","no",0,83,22.2,208.1,144,72,9.21,15.6,3,3,"no","no",1.09861228866811
"2536","TX",65,"area_code_415","no","no",0,89,37.04,238.8,101,105,8.75,6.6,4,0,"no","no",1.38629436111989
"2537","OR",77,"area_code_510","no","no",0,104,39.75,266.5,94,104,9.57,7.6,3,2,"no","no",1.09861228866811
"2538","WI",92,"area_code_408","yes","no",0,96,31.21,149.7,55,71,6.08,11.8,4,0,"no","no",1.38629436111989
"2539","KY",45,"area_code_415","no","yes",22,84,33.42,313.2,92,108,7.35,11.9,3,0,"no","yes",1.09861228866811
"2540","CO",92,"area_code_415","no","no",0,60,31.4,262,73,120,10.78,12.3,6,2,"yes","no",1.79175946922805
"2541","CA",185,"area_code_408","no","no",0,92,23.73,250.2,115,79,7.11,10.8,4,1,"no","no",1.38629436111989
"2542","MO",45,"area_code_510","no","yes",29,104,23.09,222.5,101,92,10.6,7.9,6,2,"no","yes",1.79175946922805
"2543","WV",43,"area_code_408","yes","no",0,92,27.29,235.8,121,95,5.03,13.8,5,1,"yes","no",1.6094379124341
"2544","WA",29,"area_code_415","no","no",0,122,26.76,145,75,92,12.68,9.3,2,1,"no","no",0.693147180559945
"2545","ID",127,"area_code_408","no","no",0,110,32.25,142.4,116,79,7.88,8.5,8,2,"no","no",2.07944154167984
"2546","MN",13,"area_code_510","no","yes",21,105,53.65,208.9,71,123,11.7,12.1,3,3,"no","yes",1.09861228866811
"2547","MN",117,"area_code_408","no","yes",21,112,26.04,263.3,110,85,6.08,11.9,7,1,"no","yes",1.94591014905531
"2548","NE",132,"area_code_510","no","no",0,110,16.92,129.1,80,124,5.63,9.7,3,0,"no","no",1.09861228866811
"2549","MT",126,"area_code_415","no","yes",30,90,26.08,151.4,97,97,6.92,12.8,4,4,"yes","yes",1.38629436111989
"2550","ID",96,"area_code_415","no","no",0,140,30.26,294.6,125,91,10.9,12,6,2,"no","no",1.79175946922805
"2551","SC",111,"area_code_510","no","no",0,119,13.31,198.2,94,94,11.18,12.1,4,1,"no","no",1.38629436111989
"2552","OH",54,"area_code_415","no","no",0,122,43.42,22.3,87,72,6.87,11.1,6,0,"no","no",1.79175946922805
"2553","DC",63,"area_code_408","no","no",0,64,14.11,177,106,89,11.06,13,3,0,"no","no",1.09861228866811
"2554","WV",115,"area_code_510","yes","no",0,95,42.48,242.5,104,121,6.83,15.3,6,1,"yes","no",1.79175946922805
"2555","FL",131,"area_code_408","no","no",0,84,23.26,179.4,81,151,10.58,5,3,2,"no","no",1.09861228866811
"2556","MT",80,"area_code_415","no","no",0,160,33.68,156.7,87,76,8.19,9.3,3,3,"no","no",1.09861228866811
"2557","OR",113,"area_code_415","no","no",0,143,27.17,210.1,93,86,7.88,13.1,7,2,"no","no",1.94591014905531
"2558","WV",137,"area_code_408","no","no",0,120,29.65,156.3,98,121,6.14,10.2,5,0,"no","no",1.6094379124341
"2559","AK",42,"area_code_415","no","no",0,129,29.07,183.9,96,90,5.86,4.6,6,0,"no","no",1.79175946922805
"2560","KS",85,"area_code_408","no","no",0,111,27.88,229.4,108,105,9.93,9.3,2,1,"no","no",0.693147180559945
"2561","PA",69,"area_code_415","no","no",0,88,24.41,141.8,86,83,8.73,10.8,5,3,"no","no",1.6094379124341
"2562","DC",68,"area_code_415","yes","yes",39,140,24.14,241.6,89,72,13.59,11.3,5,1,"no","yes",1.6094379124341
"2563","IL",83,"area_code_415","no","no",0,92,33.15,210.5,83,92,8.13,11,13,0,"no","no",2.56494935746154
"2564","MA",35,"area_code_415","no","no",0,129,17.95,258.2,129,77,9.59,8.7,3,0,"no","no",1.09861228866811
"2565","NC",64,"area_code_408","no","yes",19,150,49.49,226.7,123,67,9.86,7.5,2,1,"no","yes",0.693147180559945
"2566","WY",39,"area_code_510","no","yes",38,66,34.31,200.1,87,112,7.82,9.5,3,0,"no","yes",1.09861228866811
"2567","MA",78,"area_code_415","no","no",0,64,22.24,223.7,116,108,10.25,10,5,1,"no","no",1.6094379124341
"2568","ND",55,"area_code_415","no","no",0,77,30.62,235.5,98,104,7.62,11.1,2,0,"no","no",0.693147180559945
"2569","SC",111,"area_code_415","no","yes",21,94,21.61,228.3,116,108,7.5,7.1,3,1,"no","yes",1.09861228866811
"2570","ID",166,"area_code_415","no","no",0,106,37.52,177.8,118,102,9.27,12.4,9,1,"no","no",2.19722457733622
"2571","OR",72,"area_code_510","no","no",0,133,24.02,134.9,96,97,10.24,11.2,3,2,"no","no",1.09861228866811
"2572","NC",43,"area_code_415","no","no",0,96,28.19,132,105,62,14.54,10.7,6,0,"no","no",1.79175946922805
"2573","NE",161,"area_code_415","no","no",0,125,28.25,279.4,78,85,8.15,13.4,6,1,"no","no",1.79175946922805
"2574","KY",145,"area_code_408","no","no",0,122,22.95,206.3,88,90,9.47,19.7,4,0,"no","no",1.38629436111989
"2575","NJ",45,"area_code_510","no","no",0,110,26.47,260.3,103,98,8.65,11,1,1,"no","no",0
"2576","CT",73,"area_code_415","no","yes",47,117,29.53,204,114,94,7.86,6.3,3,2,"no","yes",1.09861228866811
"2577","MO",115,"area_code_408","no","no",0,81,13.74,195.7,91,66,8.55,11.7,6,1,"no","no",1.79175946922805
"2578","OR",117,"area_code_415","no","yes",17,82,37.62,167.6,100,87,11.82,4.4,4,0,"no","yes",1.38629436111989
"2579","FL",166,"area_code_510","yes","no",0,89,8.11,264.4,95,97,10.58,13.2,3,0,"yes","no",1.09861228866811
"2580","AR",115,"area_code_408","no","no",0,115,45.56,153.6,106,65,10.45,17,1,3,"no","no",0
"2581","MN",123,"area_code_408","no","no",0,135,40.15,273.9,88,77,10.22,10.1,6,2,"yes","no",1.79175946922805
"2582","IA",89,"area_code_415","no","yes",35,108,29.65,196.7,100,74,5.73,11.8,3,1,"no","yes",1.09861228866811
"2583","WA",56,"area_code_408","no","no",0,80,35.77,176.6,96,56,6.74,15.5,4,1,"no","no",1.38629436111989
"2584","AZ",83,"area_code_415","no","no",0,76,22.98,161,98,105,5.82,9,6,0,"no","no",1.79175946922805
"2585","AZ",98,"area_code_408","no","yes",40,90,36.06,233.9,110,84,10.53,7.1,4,0,"no","yes",1.38629436111989
"2586","DC",82,"area_code_415","no","no",0,109,51.05,181,100,73,12.15,11.7,4,0,"yes","no",1.38629436111989
"2587","NM",1,"area_code_510","no","yes",26,84,11.85,250.4,79,122,10.36,8.3,3,2,"no","yes",1.09861228866811
"2588","MI",53,"area_code_415","no","no",0,95,9.78,265.5,131,128,10.99,11.6,6,3,"no","no",1.79175946922805
"2589","ME",35,"area_code_408","no","no",0,113,25.38,242.2,122,104,7.84,8.9,6,2,"no","no",1.79175946922805
"2590","WY",87,"area_code_415","no","no",0,83,25.67,219.7,116,127,9.18,9.7,3,5,"yes","no",1.09861228866811
"2591","KS",99,"area_code_415","no","no",0,110,32.5,163.9,102,114,10.96,14.1,3,1,"no","no",1.09861228866811
"2592","PA",101,"area_code_415","no","no",0,105,35.12,224.9,117,100,11.25,14.6,3,0,"no","no",1.09861228866811
"2593","OK",116,"area_code_510","no","no",0,90,34.85,140.9,114,96,12.27,7.5,4,2,"no","no",1.38629436111989
"2594","MI",91,"area_code_408","no","no",0,116,22.9,295.3,98,121,8.8,6.6,5,2,"no","no",1.6094379124341
"2595","TX",48,"area_code_510","no","no",0,108,33.69,181,70,86,10.75,12.1,2,1,"no","no",0.693147180559945
"2596","UT",96,"area_code_415","no","no",0,117,27.23,267.5,67,68,10.28,9.3,5,2,"no","no",1.6094379124341
"2597","AL",125,"area_code_408","no","no",0,90,28.78,156,138,106,9.49,11.6,6,2,"no","no",1.79175946922805
"2598","AZ",73,"area_code_415","no","no",0,130,29.82,248.1,105,85,5.51,12.2,4,0,"no","no",1.38629436111989
"2599","NE",159,"area_code_415","no","no",0,105,32.15,246.1,147,106,10.89,10.4,5,1,"yes","no",1.6094379124341
"2600","MT",109,"area_code_408","no","no",0,69,45,305,120,86,8.88,9.5,9,1,"yes","no",2.19722457733622
"2601","IL",130,"area_code_415","no","no",0,95,26.5,256.1,97,103,11.83,11.7,3,3,"no","no",1.09861228866811
"2602","TN",78,"area_code_415","no","no",0,119,25.45,182.2,115,126,11.77,9.7,8,0,"no","no",2.07944154167984
"2603","HI",166,"area_code_408","no","no",0,108,30.84,253.8,54,94,5.05,11.6,6,1,"no","no",1.79175946922805
"2604","AL",172,"area_code_408","no","no",0,102,45.9,256.6,111,104,7.58,12,5,2,"yes","no",1.6094379124341
"2605","LA",111,"area_code_415","no","yes",28,104,21.9,157.3,52,76,6.63,10.3,2,2,"no","yes",0.693147180559945
"2606","WI",111,"area_code_415","no","yes",36,54,28.25,238.8,109,92,4.9,11.2,2,3,"no","yes",0.693147180559945
"2607","PA",82,"area_code_415","no","yes",24,131,26.38,244.5,106,68,5.51,10.7,3,1,"no","yes",1.09861228866811
"2608","NE",139,"area_code_415","no","no",0,103,35.89,206.9,108,70,8.73,5.6,4,0,"no","no",1.38629436111989
"2609","WY",105,"area_code_415","no","no",0,74,17.48,281.7,125,113,10.26,13.2,5,2,"no","no",1.6094379124341
"2610","DE",102,"area_code_408","no","no",0,82,41.72,260.3,124,82,8.78,10.5,3,3,"yes","no",1.09861228866811
"2611","MO",167,"area_code_415","yes","no",0,91,41.62,60.8,105,110,7.95,10.7,3,2,"no","no",1.09861228866811
"2612","AL",116,"area_code_408","no","no",0,88,22.75,177.1,103,106,8.33,12.4,4,2,"no","no",1.38629436111989
"2613","RI",65,"area_code_415","no","no",0,51,18.87,219.8,84,89,9.09,4.4,14,1,"no","no",2.63905732961526
"2614","KY",71,"area_code_510","no","yes",22,107,24.04,163,105,99,9.9,5.6,3,2,"no","yes",1.09861228866811
"2615","MN",38,"area_code_510","no","no",0,109,29.87,211.8,97,109,6.21,9.2,3,5,"yes","no",1.09861228866811
"2616","NC",125,"area_code_408","no","no",0,89,36.09,215.4,127,73,8.41,11.3,2,2,"no","no",0.693147180559945
"2617","NJ",143,"area_code_408","yes","no",0,98,31.77,196.5,110,104,9.69,12.3,3,4,"no","no",1.09861228866811
"2618","ND",71,"area_code_510","no","no",0,82,40.46,278.5,94,134,8.69,11.8,10,0,"yes","no",2.30258509299405
"2619","IN",168,"area_code_415","no","no",0,131,31.14,179.2,73,100,13.18,9.9,5,2,"no","no",1.6094379124341
"2620","ID",92,"area_code_415","no","yes",29,130,34.22,203.7,115,113,5.85,6.4,6,1,"yes","yes",1.79175946922805
"2621","OR",92,"area_code_415","no","no",0,82,33.41,190,89,99,7.34,10.8,2,2,"no","no",0.693147180559945
"2622","MI",67,"area_code_510","no","yes",35,89,41.72,148.2,102,136,12.33,7.5,6,1,"no","yes",1.79175946922805
"2623","FL",113,"area_code_510","no","no",0,85,15.74,177.6,92,72,7.19,14.4,4,3,"no","no",1.38629436111989
"2624","TX",88,"area_code_510","no","no",0,116,23.51,236,138,110,8.06,9.6,4,3,"no","no",1.38629436111989
"2625","PA",85,"area_code_408","no","no",0,88,24.55,264.6,105,94,8.34,9.9,3,1,"no","no",1.09861228866811
"2626","ND",79,"area_code_408","no","no",0,123,34.97,214.5,108,106,10.17,6.7,18,1,"no","no",2.89037175789616
"2627","NE",67,"area_code_408","no","no",0,91,24.6,219.6,106,98,10.51,12.6,8,1,"no","no",2.07944154167984
"2628","TX",149,"area_code_510","no","no",0,95,37.64,198.7,63,70,4.78,10,3,1,"no","no",1.09861228866811
"2629","NJ",95,"area_code_408","yes","yes",37,109,37.43,185.3,99,82,9.23,4.1,2,0,"yes","yes",0.693147180559945
"2630","KY",94,"area_code_408","no","no",0,93,23.65,237.9,100,59,10.22,11.4,3,1,"no","no",1.09861228866811
"2631","OK",154,"area_code_415","yes","no",0,69,24.8,208.2,141,106,8.14,14.4,10,0,"yes","no",2.30258509299405
"2632","UT",36,"area_code_415","no","yes",16,111,25.4,131.8,113,87,5.97,6.7,2,0,"no","yes",0.693147180559945
"2633","DE",97,"area_code_408","no","no",0,91,28.76,224.6,122,115,4.86,13,5,1,"no","no",1.6094379124341
"2634","ME",113,"area_code_408","no","no",0,85,34.58,219.8,140,107,10.8,8.3,5,1,"no","no",1.6094379124341
"2635","NC",64,"area_code_510","yes","yes",33,93,21.62,162.9,104,109,11.13,8.1,13,0,"no","yes",2.56494935746154
"2636","IL",148,"area_code_408","no","yes",25,102,39.22,233.8,109,90,9.71,13.5,2,3,"no","yes",0.693147180559945
"2637","ID",82,"area_code_408","no","no",0,93,17.17,155.6,104,93,13.7,13.3,2,0,"no","no",0.693147180559945
"2638","IA",45,"area_code_415","no","no",0,87,35.92,165.7,97,72,11.97,13.3,6,1,"no","no",1.79175946922805
"2639","FL",66,"area_code_510","no","no",0,112,19.36,271.8,106,95,9.75,15.6,3,2,"no","no",1.09861228866811
"2640","AL",8,"area_code_415","no","yes",36,67,41.29,170.9,59,130,7.98,4.8,12,1,"no","yes",2.484906649788
"2641","CT",92,"area_code_408","no","no",0,100,42.6,41.7,94,100,8.38,9.7,6,2,"no","no",1.79175946922805
"2642","OR",140,"area_code_415","no","no",0,108,20.45,240.4,84,74,9.74,7.7,3,4,"yes","no",1.09861228866811
"2643","MI",53,"area_code_510","no","yes",37,99,28.44,194.7,99,112,10.65,12,9,2,"no","yes",2.19722457733622
"2644","NJ",162,"area_code_408","no","no",0,87,36.99,279,71,65,11.28,10.4,4,2,"yes","no",1.38629436111989
"2645","WY",118,"area_code_408","no","no",0,92,39.51,191,68,138,9.58,7.7,4,1,"no","no",1.38629436111989
"2646","IN",86,"area_code_415","no","no",0,112,28.25,255.3,81,97,10.26,5.4,7,1,"no","no",1.94591014905531
"2647","VT",77,"area_code_408","no","yes",36,88,29.27,161.6,112,115,11.69,11.8,4,2,"no","yes",1.38629436111989
"2648","MA",97,"area_code_408","no","no",0,81,36.99,320.5,51,110,6.78,4.2,3,0,"no","no",1.09861228866811
"2649","NH",122,"area_code_415","no","yes",34,123,34.87,203.3,123,106,5.7,10.7,1,2,"no","yes",0
"2650","SD",148,"area_code_408","no","no",0,87,31.48,170.4,96,104,7.43,9.5,13,1,"no","no",2.56494935746154
"2651","HI",169,"area_code_415","no","no",0,111,30.46,175.2,130,92,10.29,9.9,6,2,"no","no",1.79175946922805
"2652","CA",112,"area_code_415","no","no",0,150,35.48,212.8,104,98,8.01,8.5,4,0,"no","no",1.38629436111989
"2653","CA",67,"area_code_510","no","no",0,93,17.48,137.8,91,110,7.15,8.9,5,1,"no","no",1.6094379124341
"2654","KY",90,"area_code_415","no","no",0,83,32.93,154.2,79,60,13.46,12.7,3,1,"no","no",1.09861228866811
"2655","NM",73,"area_code_415","no","no",0,145,36.43,268.5,135,92,10.85,10.8,13,1,"no","no",2.56494935746154
"2656","AK",112,"area_code_510","no","no",0,112,29.36,244.5,83,68,10.9,4.1,1,0,"no","no",0
"2657","KY",108,"area_code_415","no","yes",35,136,28.87,173.7,101,105,9.66,9.5,7,2,"no","yes",1.94591014905531
"2658","DC",115,"area_code_408","no","no",0,114,30.38,271,96,94,11.07,16.4,5,2,"no","no",1.6094379124341
"2659","ME",75,"area_code_408","no","no",0,59,38.96,142.8,107,109,13.12,8.5,5,0,"no","no",1.6094379124341
"2660","NH",67,"area_code_415","no","yes",40,65,17.83,216.3,93,128,9.78,9.6,9,1,"no","yes",2.19722457733622
"2661","HI",24,"area_code_415","no","no",0,104,41.12,145.2,112,105,9.65,6.6,5,1,"no","no",1.6094379124341
"2662","MS",65,"area_code_415","yes","no",0,123,47.24,155.8,112,71,11.56,9.2,10,0,"yes","no",2.30258509299405
"2663","NV",74,"area_code_415","no","no",0,114,48.03,219.9,48,115,7.65,9.4,4,1,"yes","no",1.38629436111989
"2664","WV",92,"area_code_510","no","yes",16,99,31.28,76.4,134,96,8.33,12.7,3,2,"no","yes",1.09861228866811
"2665","MN",75,"area_code_415","no","no",0,124,38.3,228,81,106,11.44,11.7,3,1,"no","no",1.09861228866811
"2666","MI",112,"area_code_510","no","no",0,77,41.38,182.1,97,94,11.66,12.8,2,1,"no","no",0.693147180559945
"2667","WV",43,"area_code_510","no","yes",26,94,24.06,196.4,123,100,7.76,12.9,1,3,"no","yes",0
"2668","AZ",108,"area_code_415","no","no",0,126,32.86,154.7,85,98,7.87,9.4,6,3,"no","no",1.79175946922805
"2669","NE",76,"area_code_510","no","no",0,98,24.36,309.1,101,122,9.33,11.4,3,2,"no","no",1.09861228866811
"2670","IN",86,"area_code_510","no","no",0,96,36.77,266.3,77,110,9.63,4.5,3,0,"no","no",1.09861228866811
"2671","MT",163,"area_code_510","no","yes",23,104,27.2,189.4,64,118,10.35,10.4,7,1,"no","yes",1.94591014905531
"2672","AK",110,"area_code_408","no","no",0,90,17.02,233.3,93,57,9.2,11.1,8,3,"no","no",2.07944154167984
"2673","KS",39,"area_code_408","no","no",0,71,30.8,344.9,108,145,9.61,12.1,2,3,"no","no",0.693147180559945
"2674","MA",62,"area_code_415","yes","no",0,86,27.15,197.5,76,105,5.47,13.9,6,0,"yes","no",1.79175946922805
"2675","NH",152,"area_code_510","no","no",0,93,38.78,136.4,106,107,8.88,9,2,1,"no","no",0.693147180559945
"2676","KS",119,"area_code_415","no","no",0,82,39.36,266.9,97,118,9.49,7.4,10,1,"no","no",2.30258509299405
"2677","NY",70,"area_code_415","no","no",0,125,30.16,226.2,104,72,11.43,10.9,4,0,"no","no",1.38629436111989
"2678","VA",99,"area_code_415","no","yes",42,125,36.72,232.3,104,100,9.7,9.3,4,2,"yes","yes",1.38629436111989
"2679","DE",74,"area_code_415","no","yes",38,84,29.92,288.2,103,86,8.02,14.8,5,2,"no","yes",1.6094379124341
"2680","AK",121,"area_code_408","no","yes",34,95,41.65,216.9,66,125,5.06,7.5,8,0,"no","yes",2.07944154167984
"2681","ID",127,"area_code_408","no","no",0,128,17.48,143.7,95,97,8.61,10,5,1,"no","no",1.6094379124341
"2682","CO",125,"area_code_408","no","yes",23,104,20.49,227.8,115,100,7.13,10.2,3,1,"no","yes",1.09861228866811
"2683","CT",110,"area_code_415","no","no",0,91,42.72,207.2,95,70,11.21,12.9,2,1,"yes","no",0.693147180559945
"2684","WV",80,"area_code_415","no","yes",38,69,40.22,197.5,68,102,9.43,9.5,10,2,"no","yes",2.30258509299405
"2685","AL",132,"area_code_415","no","no",0,104,34,149.6,101,110,6.17,18.9,2,1,"no","no",0.693147180559945
"2686","NY",160,"area_code_408","no","no",0,77,36.86,207.3,117,117,10.29,5.6,2,1,"no","no",0.693147180559945
"2687","WI",72,"area_code_408","no","no",0,113,30.58,149.8,112,79,7.57,9.8,7,2,"no","no",1.94591014905531
"2688","MS",72,"area_code_510","no","no",0,76,28.61,212.4,126,132,9.01,12,3,2,"no","no",1.09861228866811
"2689","FL",133,"area_code_510","no","no",0,85,34.29,169.4,116,80,12.88,6,4,0,"no","no",1.38629436111989
"2690","NV",125,"area_code_510","no","no",0,99,28.66,175.6,107,92,10.95,10.9,7,0,"no","no",1.94591014905531
"2691","ND",128,"area_code_408","no","no",0,87,17.43,177.2,97,119,10.17,8.7,5,1,"no","no",1.6094379124341
"2692","NC",172,"area_code_408","no","yes",47,102,46.73,186.6,118,123,11.03,8.8,2,1,"no","yes",0.693147180559945
"2693","WV",176,"area_code_510","no","no",0,111,51.71,306.6,64,98,9.36,9.5,2,7,"yes","no",0.693147180559945
"2694","ND",104,"area_code_415","no","no",0,92,20.15,177.8,109,98,11.51,12.1,4,1,"no","no",1.38629436111989
"2695","DE",89,"area_code_510","yes","no",0,108,21.35,213,90,108,8.18,5.4,5,1,"no","no",1.6094379124341
"2696","PA",137,"area_code_415","no","no",0,76,36.7,145.4,118,129,8.41,12.1,4,1,"no","no",1.38629436111989
"2697","MI",86,"area_code_415","no","yes",28,74,37.67,288.4,100,105,10.81,9,2,1,"no","yes",0.693147180559945
"2698","AL",121,"area_code_415","no","no",0,128,28.71,123.9,99,105,11.98,2.9,7,2,"no","no",1.94591014905531
"2699","NJ",42,"area_code_415","no","yes",32,80,27.85,177.8,123,106,8.57,8.1,5,0,"no","yes",1.6094379124341
"2700","MD",139,"area_code_415","no","no",0,119,30.87,335.7,118,64,6.74,8.3,6,4,"no","no",1.79175946922805
"2701","IA",152,"area_code_415","no","no",0,98,35.07,292.8,82,121,1.97,10.6,4,1,"no","no",1.38629436111989
"2702","VA",103,"area_code_408","no","no",0,71,25.13,182.6,103,95,11.74,6.9,3,1,"no","no",1.09861228866811
"2703","SD",34,"area_code_408","no","no",0,65,30.7,280.4,99,105,13.16,5,3,1,"no","no",1.09861228866811
"2704","TX",53,"area_code_415","no","no",0,113,20.35,189.7,84,108,11.53,12.9,7,2,"no","no",1.94591014905531
"2705","FL",39,"area_code_510","no","no",0,99,20.67,267.6,99,88,4.49,7.1,2,1,"no","no",0.693147180559945
"2706","MT",100,"area_code_415","no","no",0,86,16.41,210.2,133,106,6.59,12.5,3,1,"yes","no",1.09861228866811
"2707","ND",75,"area_code_408","no","yes",24,119,38.34,182,108,106,12.19,9.4,2,3,"no","yes",0.693147180559945
"2708","CO",181,"area_code_510","no","yes",40,61,17.88,341.3,79,97,7.46,6.3,3,2,"no","yes",1.09861228866811
